epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.0001,0,,,,,,,
0,,29,,,0.10055716407596689,1.5569635393010677,0.21887548011641403,0.5533701974383819,0.10045748604570254
0,,29,0.07451206972429034,,,,,,
,0.0001,30,,,,,,,
1,,49,,0.05003410255256876,,,,,
1,,59,,,0.10075349239333926,1.2159159765738923,0.22223964931842097,0.5487399185090582,0.08712531230144256
1,,59,0.05827343317969382,,,,,,
,0.0001,60,,,,,,,
2,,89,,,0.10187302279919251,1.0763406407001184,0.2252216694401745,0.5520212169594454,0.07738688997307702
2,,89,0.05048048214868854,,,,,,
,0.0001,90,,,,,,,
3,,99,,0.04520731347900752,,,,,
3,,119,,,0.1024990091706886,1.0361190103466962,0.22640686237655053,0.55512777663392,0.072222912425215
3,,119,0.04796135773349597,,,,,,
,0.0001,120,,,,,,,
4,,149,,0.046979085698981425,,,,,
4,,149,,,0.10272660500565113,1.0374804223268284,0.22669315461023323,0.5567909387812545,0.0692229177043649
4,,149,0.04592007476551167,,,,,,
,0.0001,150,,,,,,,
5,,179,,,0.10276192914771948,1.0499460543811863,0.2265910829321857,0.5575476109828192,0.0672387251319842
5,,179,0.04494765030710977,,,,,,
,0.0001,180,,,,,,,
6,,199,,0.042642854960203765,,,,,
6,,209,,,0.10276193704501081,1.0564563833944312,0.22646087527467085,0.5579974367346785,0.06620150475143914
6,,209,0.04542937429177876,,,,,,
,0.0001,210,,,,,,,
7,,239,,,0.10296790406559936,1.0464931860197122,0.22670662481564685,0.559572992494441,0.0656599842962108
7,,239,0.04584802445655566,,,,,,
,0.0001,240,,,,,,,
8,,249,,0.04408490576487207,,,,,
8,,269,,,0.10264232762032027,1.0699196533657156,0.22610325294649777,0.5577418765355693,0.06531793624746803
8,,269,0.04555330518349337,,,,,,
,0.0001,270,,,,,,,
9,,299,,0.04634801504625353,,,,,
9,,299,,,0.10265986302305478,1.0633453618479025,0.22607016020337475,0.5581760034883262,0.06523284588972535
9,,299,0.04470233194005749,,,,,,
,0.0001,300,,,,,,,
10,,329,,,0.1027695953560616,1.0398900092504297,0.2262719663204261,0.5590735826410336,0.0650518852044551
10,,329,0.04418740038271761,,,,,,
,0.0001,330,,,,,,,
11,,349,,0.041000212272580806,,,,,
11,,359,,,0.10257651570715703,1.0379675272736282,0.22588672700430776,0.5585034705683429,0.06479487836294255
11,,359,0.04408784447529483,,,,,,
,0.0001,360,,,,,,,
12,,389,,,0.10235206044740391,1.0309829131417494,0.22558468852030514,0.5574146920136781,0.06447832179358409
12,,389,0.04497716268478724,,,,,,
,0.0001,390,,,,,,,
13,,399,,0.04773839366368576,,,,,
13,,419,,,0.10113529936610928,1.0542205531562552,0.22395538849151053,0.5495796820256089,0.06375987027012724
13,,419,0.043841770233825135,,,,,,
,0.0001,420,,,,,,,
14,,449,,0.04436038832709164,,,,,
14,,449,,,0.10140303076363925,0.9789319259304005,0.22461571235032762,0.5519789805320293,0.0635359993570546
14,,449,0.044049736497417405,,,,,,
,0.0001,450,,,,,,,
15,,479,,,0.10011915605507286,0.995956141397406,0.22310524650440824,0.5441703072631683,0.06247273951191127
15,,479,0.04359789718341383,,,,,,
,0.0001,480,,,,,,,
16,,499,,0.04219585219263381,,,,,
16,,509,,,0.09691731352640942,1.0692786522121922,0.2188635308336814,0.5261755480976381,0.060515196717373154
16,,509,0.0439025673314271,,,,,,
,0.0001,510,,,,,,,
17,,539,,,0.0963969990749406,1.0282349405179891,0.21763081970228615,0.5278039232908346,0.06002878749235954
17,,539,0.04363726046335809,,,,,,
,0.0001,540,,,,,,,
18,,549,,0.04449201195093772,,,,,
18,,569,,,0.09650509170608408,0.9706846756127554,0.21774604009435775,0.5290480155852284,0.059688135688554085
